column,count,mean,std,min,25%,50%,75%,90%,95%,max
dr_no,62105.0,241096124.85674262,1706784.6675327509,2503.0,240509030.0,241012599.0,241515339.0,241912467.6,242013846.8,252104146.0
time_occ,62105.0,1373.6374043957812,633.0136175311444,1.0,930.0,1450.0,1900.0,2145.0,2235.0,2359.0
area,62105.0,10.268223170437162,6.252022651490403,1.0,5.0,10.0,15.0,19.0,20.0,21.0
rpt_dist_no,62105.0,1073.557700668223,626.7983610046402,101.0,504.0,1067.0,1557.0,1972.0,2055.0,2199.0
part_1_2,62105.0,1.2467756219306014,0.4311385013585059,1.0,1.0,1.0,1.0,2.0,2.0,2.0
crm_cd,62105.0,492.48426052652763,171.82988258156593,110.0,352.0,442.0,510.0,745.0,888.0,956.0
vict_age,32009.0,38.169889718516664,14.362342171379904,2.0,27.0,35.0,47.0,59.0,66.0,99.0
premis_cd,62099.0,285.81788756662746,244.08147899857786,101.0,101.0,122.0,501.0,707.0,810.0,974.0
weapon_used_cd,3641.0,383.10464158198295,137.3367593752763,101.0,400.0,400.0,500.0,500.0,511.0,515.0
crm_cd_1,62105.0,492.4773689719024,171.7791805237976,110.0,352.0,442.0,510.0,745.0,888.0,956.0
lat,62105.0,34.07630041542549,0.10881188455920993,33.707,34.0237,34.0595,34.1649,34.2246,34.2519,34.3297
lon,62105.0,-118.35402769986314,0.1042724807734504,-118.6673,-118.4294,-118.3272,-118.2717,-118.2434,-118.22472,-118.156
occ_hour,62105.0,13.55370743096369,6.3347450662587494,0.0,9.0,14.0,19.0,21.0,22.0,23.0
occ_minute,62105.0,18.266661299412284,18.298865019570233,0.0,0.0,15.0,30.0,45.0,50.0,59.0
occ_year,62105.0,2024.001561871025,0.03948995687236424,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2025.0
occ_month,62105.0,8.178922792045729,2.219704255542849,1.0,6.0,8.0,10.0,11.0,12.0,12.0
report_delay_days,62105.0,5.026181466870622,14.673830125769674,0.0,0.0,1.0,3.0,11.0,24.0,264.0
