crime_type,incident_count,incident_pct
VEHICLE - STOLEN,13741,22.13
SHOPLIFTING - PETTY THEFT ($950 & UNDER),5522,8.89
THEFT PLAIN - PETTY ($950 & UNDER),5482,8.83
BURGLARY FROM VEHICLE,5358,8.63
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),4783,7.7
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",4055,6.53
TRESPASSING,3786,6.1
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",3474,5.59
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),3285,5.29
THEFT OF IDENTITY,3270,5.27
VANDALISM - MISDEAMEANOR ($399 OR UNDER),1149,1.85
PICKPOCKET,909,1.46
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),826,1.33
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",734,1.18
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",691,1.11
BIKE - STOLEN,641,1.03
BATTERY - SIMPLE ASSAULT,611,0.98
BURGLARY,527,0.85
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",514,0.83
ROBBERY,461,0.74
